Access Format	Approved	Approved By	Bit Depth	Book Title	Camera Make	Camera Model	Cataloged	Cataloged By	Changed	Changed By	Client Name	Collection	Color Mode	Color Profile	Copyright	Created	Creator Application	Creator Mac	Creators	Date	Description	Description 	Description Writer	Directory Path	Duration	DVD Number	EXIF - Aperture	EXIF - Date Digitized	EXIF - Date Taken	EXIF - Exposure Bias	EXIF - Exposure Time	EXIF - F-Number	EXIF - Flash	EXIF - Focal Length	EXIF - ISO Speed	EXIF - Light Source	EXIF - Metering Mode	EXIF - Shutter Speed	EXIF - White Balance	Extension	File Size	File Type Mac	Filename	GPS - Altitude	GPS - Latitude	GPS - Longitude	Height	Horizontal Resolution	IPTC - Category	IPTC - City	IPTC - Copyright Info URL	IPTC - Copyright Notice	IPTC - Country	IPTC - Country Code	IPTC - Creator	IPTC - Creator Address	IPTC - Creator City	IPTC - Creator Country	IPTC - Creator Email	IPTC - Creator Job Title	IPTC - Creator Phone	IPTC - Creator Postal Code	IPTC - Creator State/Province	IPTC - Creator Web URL	IPTC - Credit	IPTC - Date Created	IPTC - Headline	IPTC - Instructions	IPTC - Intellectual Genre	IPTC - Location	IPTC - Rights Usage Terms	IPTC - Scene	IPTC - Source	IPTC - State/Province	IPTC - Subject Code	IPTC - Supplemental Categories	IPTC - Title	IPTC - Transmission Reference	IPTC - Urgency	Item ID	Job Name	Job Status	Keywords	License Agreement for Project	Licensed for Web	Modified	Movie - Audio Codec	Movie - Channels	Movie - Color Depth	Movie - Duration	Movie - FPS	Movie - Sample Rate	Movie - Sample Size	Movie - Video Codec	MS - Author	MS - Company	MS - Last Saved By	MS - Manager	MS - Subject	MS - Template	MS - Title	Number of Pages	Original/Preservation Format	Path	Photoshop Label	Photoshop Rating	Reference	Related Material	Routed To	Routing Notes	Short Filename Win	Thumbnail Size	Title	Type	Vertical Resolution	Volume	Watermark URL	Watermarked	Website	Width	Work Needed	Zone Mac
				Clever Backbone			12/03/2013 14:47	AutoSync	12/16/2013 9:41:55 AM	nkg42		Bloodaxe Books Collection	RGB		Bloodaxe Books and Simon Armitage	12/03/2013 15:11	Adobe Photoshop CS6 (Windows)		Cover design by Neil Astley and Pamela Robertson-PearceCover image by Satoshi KitamuraJohn Agard	2009		"Cover image depicts an art awork of a skeleton, by Satoshi Kitamura"		\\lichfield\assets$\BloodAxe\BloodAxeBooks\																jpg	3214 K	JPEG	BXB821-AGACLE-01.jpg				2308	300		%G																														431			Clever BackboneJohn Agard			12/03/2013 15:07																1	TIFF	\\lichfield\assets$\BloodAxe\BloodAxeBooks\BXB821-AGACLE-01.jpg			BXB821-AGACLE-01				e:\assets\BloodAxe\BLOODA~2\BXB821~2.JPG	256	Front cover of Clever Backbone	Image	300	assets$				1493		
JPEG				Split World: Poems 1990-2005			12/03/2013 14:47	AutoSync	12/13/2013 11:00:22 AM	nkg42		Bloodaxe Books Collection	RGB		Bloodaxe Books and Simon Armitage	12/03/2013 14:44	Adobe Photoshop CS6 (Windows)		Cover design by Neil Astley and Pamela Robertson-PearceCover image by Nancy Hart in collaboration with Emily GreenwoodMoniza Alvi	2008		Cover image depicts What? by Nancy Hart in collaboration with Emily Greenwood		\\lichfield\assets$\BloodAxe\BloodAxeBooks\JPEG\																jpg	7715 K	JPEG	BXB821-ALVSPL-01.jpg				2544	300		%G																														432			Moniza AlviSplit World: Poems 1990-2005			12/03/2013 14:44																1	TIFF	\\lichfield\assets$\BloodAxe\BloodAxeBooks\JPEG\BXB821-ALVSPL-01.jpg			BXB821-ALVSPL-01				e:\assets\BloodAxe\BLOODA~2\JPEG\BXB821~4.JPG	256	Front cover of Split World: Poems 1990-2005	Image	300	assets$				1637		
JPEG				Europa			12/03/2013 14:47	AutoSync	12/13/2013 11:27:52 AM	nkg42		Bloodaxe Books Collection	RGB		Bloodaxe Books and Simon Armitage	12/03/2013 15:11	Adobe Photoshop CS6 (Windows)		Cover design by Neil Astley and Pamela Robertson-PearceCover image by Tabitha VeversMoniza Alvi	2008		"Cover image depicts a painting titled When We Talk About Rape, by Tabitha Vevers"		\\lichfield\assets$\BloodAxe\BloodAxeBooks\																jpg	5512 K	JPEG	BXB821-ALVEUR-01.jpg				2531	300		%G																														433			EuropaMoniza Alvi			12/03/2013 15:07																1	TIFF	\\lichfield\assets$\BloodAxe\BloodAxeBooks\BXB821-ALVEUR-01.jpg			BXB821-ALVEUR-01				e:\assets\BloodAxe\BLOODA~2\BXB821~3.JPG	256	Front cover of Europa	Image	300	assets$				1603		
JPEG				Collected Poems			12/03/2013 14:47	AutoSync	12/16/2013 9:42:11 AM	nkg42		Bloodaxe Books Collection	RGB		Bloodaxe Books and Simon Armitage	12/03/2013 15:11	Adobe Photoshop CS6 (Windows)		Asj TessimondCover design by Neil Astley and Pamela Robertson-PearceEdited by Hubert NicholsonTranslated by Jacques Prevert	2010		Cover image depicts a photograph portrait of Asj Tessimond on a blue background		\\lichfield\assets$\BloodAxe\BloodAxeBooks\																jpg	5945 K	JPEG	BXB821-ASJCOL-01.jpg				2739	300		%G																														434			Asj TessimondJacques PrevertCollected Poems			12/03/2013 15:07																1	TIFF	\\lichfield\assets$\BloodAxe\BloodAxeBooks\BXB821-ASJCOL-01.jpg			BXB821-TESCOL-01				e:\assets\BloodAxe\BLOODA~2\BX97FF~1.JPG	256	Front cover of Collected Poems	Image	300	assets$				1808		
JPEG				Being Alive: The Sequal to Staying Alive			12/03/2013 14:47	AutoSync	12/16/2013 9:42:23 AM	nkg42		Bloodaxe Books Collection	RGB		Bloodaxe Books and Simon Armitage	12/03/2013 15:11	Adobe Photoshop CS6 (Windows)		Cover image by Nan GoldinEdited by Neil Astley	2004		"Cover image depicts a photograph titled Self-Portrait on the Train Boston - New Haven, by Nan Goldin "		\\lichfield\assets$\BloodAxe\BloodAxeBooks\																jpg	5717 K	JPEG	BXB821-ASTBEI-01.jpg				2537	300		%G																														435			Being Alive: The Sequel to Staying AliveNan Goldin			12/03/2013 15:07																1	TIFF	\\lichfield\assets$\BloodAxe\BloodAxeBooks\BXB821-ASTBEI-01.jpg			BXB821-ASTBEI-01				e:\assets\BloodAxe\BLOODA~2\BX90F2~1.JPG	256	Front cover of Being Alive: The Sequal to Staying Alive	Image	300	assets$				1588		
JPEG				In Person: 30 Poets filmed by Pamela Robertson-Pearce			12/03/2013 14:47	AutoSync	12/16/2013 9:45:16 AM	nkg42		Bloodaxe Books Collection	RGB		Bloodaxe Books and Simon Armitage	12/03/2013 15:11	Adobe Photoshop CS6 (Windows)		Cover design by Neil Astley and Pamela Robertson-PearceCover image by Benjamin ZephaniahEdited by Neil AstleyFilmed by Pamela Roberston-Pearce	2008		"Cover image depicts detail from a painting titled A Gentleman Reading a Letter to His Wife in an Interior, by Pieter de Hooch; Inset photograph depicts a portrait of a man's face, by Benjamin Zephaniah; Includes a double DVD containing poetry readings filmed by Pamela Robertson-Pearce"		\\lichfield\assets$\BloodAxe\BloodAxeBooks\																jpg	7828 K	JPEG	BXB821-ASTINP-01.jpg				2718	300		%G																														436			In Person: 30 Poets filmed by Pamela Robertson-PearceNeil AstleyPamela Robertson-Pearce			12/03/2013 15:07																1	TIFF	\\lichfield\assets$\BloodAxe\BloodAxeBooks\BXB821-ASTINP-01.jpg			BXB821-ASTINP-01				e:\assets\BloodAxe\BLOODA~2\BXA50C~1.JPG	256	Front cover of In Person: 30 Poets filmed by Pamela Robertson-Pearce	Image	300	assets$				1839		
JPEG				The Sinking Road			12/03/2013 14:47	AutoSync	12/13/2013 11:29:53 AM	nkg42		Bloodaxe Books Collection	RGB		Bloodaxe Books and Simon Armitage	12/03/2013 15:11	Adobe Photoshop CS6 (Windows)		Cover design by Neil Astely and Pamela Robertson-PearceCover image by Felix NussbaumPaul Batchelor	2008		"Cover image depicts a painting titled The Organ Grinder, by Felix Nussbaum"		\\lichfield\assets$\BloodAxe\BloodAxeBooks\																jpg	7961 K	JPEG	BXB821-BATSIN-01.jpg				2533	300		%G																														437			Paul BatchelorThe Sinking Road			12/03/2013 15:07																1	TIFF	\\lichfield\assets$\BloodAxe\BloodAxeBooks\BXB821-BATSIN-01.jpg			BXB821-BATSIN-01				e:\assets\BloodAxe\BLOODA~2\BX92C5~1.JPG	256	Front cover of The Sinking Road	Image	300	assets$				1617		
JPEG				A Republic of Linen			12/03/2013 14:47	AutoSync	12/13/2013 11:30:09 AM	nkg42		Bloodaxe Books Collection	RGB		Bloodaxe Books and Simon Armitage	12/03/2013 15:11	Adobe Photoshop CS6 (Windows)		Cover design by Neil Astley and Pamela Robertson-PearceCover image by Philip GustonPatrick Brandon	2009		"Cover image depicts a painting titled Couple in Bed, by Philip Guston"		\\lichfield\assets$\BloodAxe\BloodAxeBooks\																jpg	6089 K	JPEG	BXB821-BRAREP-01.jpg				2533	300		%G																														438			A Republic of LinenPatrick Brandon			12/03/2013 15:07																1	TIFF	\\lichfield\assets$\BloodAxe\BloodAxeBooks\BXB821-BRAREP-01.jpg			BXB821-BRAREP-01				e:\assets\BloodAxe\BLOODA~2\BX1E4A~1.JPG	256	Front cover of A Republic of Linen	Image	300	assets$				1629		
JPEG				Voice Recognition: 21 Poets for the 21st Century			12/03/2013 14:47	AutoSync	12/16/2013 9:47:34 AM	nkg42		Bloodaxe Books Collection	RGB		Bloodaxe Books and Simon Armitage	12/03/2013 15:11	Adobe Photoshop CS6 (Windows)		Cover design by Neil Astley and Pamela Robertson-PearceCover image by Bao NguyenEdited by James Byrne and Clare Pollard	2009		"Cover image depicts a photograph of a crowd of people, by Bao Nguyen"		\\lichfield\assets$\BloodAxe\BloodAxeBooks\																jpg	6401 K	JPEG	BXB821-BYRVOI-01.jpg				2531	300		%G																														439			Clare PollardJames ByrneVoice Recognition: 21 Poets for the 21st Century			12/03/2013 15:07																1	TIFF	\\lichfield\assets$\BloodAxe\BloodAxeBooks\BXB821-BYRVOI-01.jpg			BXB821-BYRVOI-01				e:\assets\BloodAxe\BLOODA~2\BXA7C8~1.JPG	256	Front cover of Voice Recognition: 21 Poets for the 21st Century	Image	300	assets$				1622		
JPEG				Farewell My Lovely			12/03/2013 14:47	AutoSync	12/13/2013 11:31:01 AM	nkg42		Bloodaxe Books Collection	RGB		Bloodaxe Books and Simon Armitage	12/03/2013 15:11	Adobe Photoshop CS6 (Windows)		Cover image by Francesca WoodmanPolly Clark	2009		"Cover image depicts a photograph titled From Spce Providence, RI (RISD), by Francesca Woodman"		\\lichfield\assets$\BloodAxe\BloodAxeBooks\																jpg	6247 K	JPEG	BXB821-CLAFAR-01.jpg				2530	300		%G																														440			Farewell My LovelyPolly Clark			12/03/2013 15:08																1	TIFF	\\lichfield\assets$\BloodAxe\BloodAxeBooks\BXB821-CLAFAR-01.jpg			BXB821-CLAFAR-01				e:\assets\BloodAxe\BLOODA~2\BX0306~1.JPG	256	Front cover of Farewell My Lovely	Image	300	assets$				1628		
