Temporary In-house Box Reference,Existing box label(s),Accessed by,Box contents summary,Covering Dates
1,1992. Proofs & Manuscripts! How do you eat yours? H,TB AW (14.02.13); ,Holub; Jingle Bel; Conn Luncheon of Boating Party; Redgrove; Cyclopean Mistres; English Earthqulke; Salzman; Sail Out of Land,1992
2,1992. Proofs & Manuscripts ,TB AW (14.02.13); ,Frederico Garcia Lorca; D.M. Thomas; The Puberty Tree; Thomas New & Uncollected Poems; Lorca Old Versions; Dave Smith; Night Pleasures; Miroslav Holub; The Jingle Bell Principle 1992; R.S. Thomas Mass for Hard Times 1992; Tony Flynn; Body Politi; French Poets; Staine;r Slave Ship; Yves Bonnefoy; Douve;Michaux Deplacements Degagements,1992
3,1994 Coca-Cola Presentsó Proofs & Manuscripts! The Real Thing D,TB AW (14.02.13); ,John Hartley Williams; Double; Houston;  Hunters in the Snow; Douglas Oliver; Penniless Politic; Brendan Kennelley; Journey Into Joy; Joolz; Pride of Lions; David Constantine Caspar Hause; Heslop Out of the Old Earth 1994;  Ann Sansom Romanc; Ekelof; Bill Herbert Forked Tongue,1994
4,1997 Proofs & Manuscripts,TB AW (14.02.13); ,Imtiaz Dharker; Postcards from god; Bestiary; Helen Dunmore;  Jenny Joseph; Extended Similes; Jean 'Binta' Breeze; On the Edge of an Island; Dirty Washing; Transtromer; Fulton; First half  I have Lots of Heart; Hernandez; Ruth Pader Angel,1997
5,1993 Proofs & Manuscripts You put your left leg inó T,TB AW (14.02.13);  TB AW (19.04.13);, Bertolucci; Klaonica Smith; Benson; D'Aguar; British Subjects; Henry Normal; Nude; Spread of Sponsorship; Sir Roy Shaw  Apple Fire; Pirrie; Kathleen Jamie; Autonomous Region; Ken Smith; Tender to the Queen of Spain,1993
6,2000 Proofs & Manuscripts! What else? Chocolate? ,TB AW (14.02.13); ,Adcock Poems; Edna Longley; Poetry and Posterity; George Szirtes; The Budapest File; Granny Scarecrow; Isabel Martin; Reading Peter Reading; Chris Greenhalgh; Of Love; Sea-squirt; Bensley; Back and the Front of It; Inger Christensen; alphabet; Polly Clark; Kiss,
11,Proofs & Manuscipts! (creating fun filing since 1998),TB AW (15.02.13); ,Agee; Scar on the Stone Bosnian Anthology; Carol Rumens; Viv Quillin; The Miracle Diet; Micheal OSiadhail; Our Double Time; Clair Wills; Reading Paul Muldoon;  On the Dostoyevsky Poems; Geoff Hattersley; Pamela Gillilan; Rashomon Syndrome; Philip Gross; Wasting Game; Reading; OCallaghan; Two Barks; Ken Smith; Wild Roo; Brendan Cleary; Sacrilege; Bev Braune; Camouflage,
12,Proofs & M/Scripts,TB AW (15.02.13); ,Book of Judas; Judas Reject Poems; Media Kennelly; Book of Judas; Tardieu,1991
13,Proofs and Manuscripts (Now with 20% more essential info),,Fred Vos;s Carnegie Hall with Tin Walls; John Kinsella; The Hunt Poems; O'Brien; Deregulated Moose; O'Brien Deregulated Muse; Jackie Hardy; Canuting the Waves; Scott Selected Poems; Kennell;y Man Made of Rain; W. N. Herbert; The Laurelude,1998
14,Proofs and Manuscripts Filing Can be Fun 1999,,Attila Jozef; Iron Blue Vault; John Kinsella Visitants; Mairi MacInnes; Ghost Writer;  Whitehead; Garden of Slender Trust; Dalton; How to Disappear; Eternal Monday; Petri; Chase Twichell; Snow Watching; Katies In the Grip of Strange Thoughts;  Ryan Willing; Eye; Stewart Conn; Stolen Light;  Plater Coalhouse Door,1999
15,Proofs and Manuscripts 1990,TB AW (19.04.13); ,Neil Astley; Dear Prime Minister; Connie Bensley; Central Reservations; Dear Prime Minister Astley; Planning; Central Reservations; Bensley; Snow Leopard Penultimate Text Forsstrum; Ken Smith; Heart; Border; Ciaran Carson; Belfast Confetti; New Women Poets; Snow Leopard; Forsstrum; McDuff; Richard Murphy; Mirror Wall; Coastguards House; Reed Montaie; Hugh Shankland ; Carol Rumens; Coastguards House;  Reed; Montale                                       ,1990
16,Proofs and Manuscripts Happy Kettle 1995 ,TB AW (19.04.13); ,Poetry my Arse; Current Press Releases; Dave Smith Farers; Bartlett; Two  Women Dancing; C. K. Williams; Berry; Hot Earth Cold Earth; Simpson; Catching up with History; Bill Naughton; Neither Use Nor Ornament  ,1995
17,Proofs and Manuscripts 1992,,France; Red; Gosta Agren; A Valley in the Midst of Violence; Benjamin Zephaniah; City Psalms; Xanadu; English Earthquake; Salzman; Rebel without Applause; Balmer; Sappho; Redgrove; Proto Cyclopean Mistress; By Hand (Wordworks) Tyne Tees;  Wordworks; Joseph Brathwaite; Middle Passage; Maxwell; Out of the Rain; Wearne; Out Here,1992
20,Proofs and Manuscripts !!! 1992,,Harrison; Gorgon; Kennelly; Breathing Spaces; Night Pleasures; Dave Smith; Conn; Boating Party; Attila; Scornflakes; McCuckan; Marconi's Cottage; Stenburg; Wings of Hope and Daring; Ratvshinskyz; Shadow; Lorca,1992
22,Proofs and Manuscripts! Do not open if you have envelope fear 1996,,Mandelstam Vernonezh; Notebooks; Roy Fisher; The Dow Low Drop; Szirtes; G_m_ri; Colonnade of Teeth; Tom Pow; Red Letter Day,1996
23,Proofs and Manuscripts 1991,,Soft Target; Simon Rae; Garrett; Rule of Three; Piotr Sommers; Things to Translate; Duhig; Content and Tasteful; Julie O'Callaghan; Elliot; French Love Poems; What's What; Julie O' Callaghan; John Hughes; Chill Wind; Noel Connor; Confounded Language ; The Tutenkhamen Variations; Constantine; Dunmore;  Short Days Long Nights; Scammell; New Lake Poets; Mandelstam; Noel Connor; Confounded,1989-1991
24,Proofs and Manuscripts 1993,AW (22.04.13); ,William Martin; Marra Familia; Cleary The Irish Card; Turnspit Dog;  Normal; Nude;  Randall; White Eyes Dark Ages; Sunset Grill; Rouse; Blood of the Walsungs; Orban; Rumens; Thinking of Skins; Stephen Knight; Flowering Limbs; Stephen Smith; Fab Relatives; Austin; On the Border;  Shvarts; Paradise,1993
25,Proofs and Manuscripts 1994,,Sansom; Writing Poems; Enzensberger; Karin Boye;Tuominen ; Dark Fathers into Light Pine; Poetry Virgins; Sauce; Gillilan; All -Steel Traveller; W. N. Herbert; Forked Tongue,1994
26,Proofs and Manuscripts! 1989,TB AW (19.04.13); ,Markham; Marion Lomax; Stainer; Charlton; Nightshift Workers; Douglas Dunn; Peter McDonald; Anna Akhmatova; E. A. Markham; Hinterland; Armitage; Zoom; Sylvia Kantaris; Dirty Washing; Akhmatov; Bunting; Uncollected Poems; Peepshow Girl; Step by Step; McDuff;  Ice Around Our Lips; Charlton,1989
27,Proofs and Manuscripts The New Posh and Becks 1994,,Greig; Western Swing; Razumovsky; Marina Tsvetayeva; Tony Harrison; Permanently Bard; Berkeley; Facts About Water,1994
28,Proofs and Manuscripts 1996,,W. N. Herbert; Cabaret; McGonagal; Lorca; Kennelly; Blood Wedding; Meehan; Mysteries of the Home; Zephaniah; Propa Propaganda; Adrian Mitchell; Blue Coffee; Judi Benson; Long Pale Corridor; Fairleigh; When the Tunnels Meet; Bloodaxe Books Information; Stainer; Ice Pilot Speaks; Wound Dresser's Dream; Higgins; Sunny Side; H lderlin,1996
29,Proofs and Manuscripts Beware> flying pigs 2000,,Edna Longley; Poetry and Posterity; Grip on the Thin Air; Jane Griffiths; Isabel Martin; Reading Peter Reading;,2000
30,Manuscripts and Proofs ,,Clare Pollard; Heavy Petting Zoo; Reading; Party; Gwyneth Lewis; Zero Gravity; Tony Harrison; The Gaze of the Gorgon; The Fire-Gap; Michael Chaplin; Matt Simpson; Dutton; Fleur Adcock; Step by Step; Sirkka-Liisa Konttinen; Dutton; Loose Poems; Heslop; Autobiography; Vyacheslav Kuprianov; Francis R. Jones; U; Long Pale Corridor; Mistila; John Hartley Williams,1998
31,Proofs and Manuscripts 1986 The path to Nirvana begins here,,Boundless Function; Arthur Gibson; Ken Smith; Chinese Whispers; Kibble Palace; Conn; Pete Didsbury; The Classical Farm; Ken Smith 1987; Chinese Whispers; Holub; Adcock; Dooley; Litherland; Maughan; Levertov; Derek Smith; G. F. Dutton; Squaring the Waves;  Greig; Jamie Flame; in your Heart; Sea Skater; Dunmore; Jimmy Forsyth;  Ruth Fainlight; Steve Ellis,1986-1987
32,Proofs and Manuscripts A ripping good family day out 1997,,Anne Rouse; Timing C. K. Williams; The Vigil Manuscript; Adrian Mitchell; Heart on the Left; Gillian Ferguson; Air for Sleeping Fish; Ruth Fainlight; Sugar Paper Blue;Jane Holland; Brief History; Making for Planet Alice;John Hartley Williams; Canada; Enzensberger' Kiosk; Ursu; Sky Behind Forest; Common Carnage; Stephen Dobyns,1997
33,Proofs and Manuscripts! 1990,,Greig; Order of the Day; Richard Murphy; The Mirror Wall; Hewett; Alice in Wormland; Tremor of Racehorses; Fischerov; Counterpoint; R. S. Thomas; Waiting for the Storm; Mangan; Waiting for the Storm; Simpson;  Simpson; An Elegy for the Galosherman; Glyn Maxwell ;Tale of the Mayor's Son Morden Tower Material; Brown Gordon; Brendan Kennelly; A Time for Voices; Dear Next Prime Minister; Astley; Tale of the Mayor's Son; Dave Ketchin; Riverrun Signatures; Loose Sheets; Maxwell,1990
34,Proofs & M/scripts '78 - '85,AW (20.02.13); AW (21.12.13); AW TB (21.12.13);,Ken Smith; Tristan Crazy; Carter; Bunting; Horovitz; Paulin; David Constantine; Davies; CRC/Brass/Dummy; Paul Hyland; Stubborn Forest; Soresco; O' Brien; Leopold Staff,1978 - 1985
36,Proofs and Manuscripts Now 35% more funerific 1990,,Joolz; Emotional Terrorism; Hulub; Dear Next Prime Minister; Gordon Brown; High on the Walls; Rumens; New Women Poets; Duhig; The Bradford Count;  Dutton; Concrete Garden;  Herbert Lomas Contemporary; Finnish Poetry,1990-1991
38,Proofs and Manuscripts! 1994,,Longley; Living Stream; David Constantine; Nobby Horn; Tsvetaxeva; Jacottet; Under Clouded Skies; Heslop; Out of Old Earth; Selima Hill; Trembling Hearts in the Bodies of Dogs; Edna Longley The Living Stream,1994
39,Proofs and Manuscripts (Mama said knock you out) 1995 ,,Kennelys; Poetry My Arse; O'Siadhails; Fragile City; Astley; Biting my Tongue; Conn; In the Blood; Carol Rumens; Best China Sky; Annemarie Austin;Flaying of Marsyas; Door upon Door; Micheal O' Siadhail; A Fragile City; Duhig; Mersey Goldfish; Tony Harrison; Permanently Bard; Cesaire; Return to my Native Land; Helen Kitson; Love Among the Guilty; Gwyneth Lewis; Parables and Faxes,
40,Proofs & Manuscripts! If you poke them they bite. '78 - '85,AW (20.02.13); AW (21.12.13) AW TB (21.12.13),Talitha Cumi; David Constantine; Rodney Pybus; Ukelele Music;Oldham; Dumore; Stephen Dunstan; Tarot Poems; Paul Hyland; Domingus; Adcock; Virgin + Nightingale; Flynn; Strange Routine; Maxwell; Out of the Rain; Pete Didsbury Butchers of Hull; Constantine; Watching for Dolphins; Basil Bunting,1980 - 1992
41,Leo DeCaprio and Kate Winslet inóProofs and Manuscripts! Nothing in this world could tear them apart,,Duhig; Sean O'Brien; Roy Fisher; Chap; Deregulated Muse,
42,Proofs and Manuscripts! (Hear ye hear ye!),AW (22.04.13); ,Roy Fisher; The Dow Low Drop; Hyland; Getting into Poetry; Objectivists; McAllister; Marion Lomax; Raiding the Borders; Holderlin; Dooley; Kissing and Bone; Knight; Dream City Cinema; Muse; Velocities; Stephen Dobyns; The New French Poetry; Kelley; Khalfa; Balmer; Classical Women Poets,
44,Proofs & Manuscipts! 1978 - 85,AW (20.02.13); AW (21.12.13); TB (21.12.13),Edith S_dergran; Frighteners; The Poet Reclining; Ken Smith; Tony Harrison; V; Constantine; Brightness to Cast Shadows; R.S. Thomas; Crane; Burned Book Rubbing; Noel Connor; Sodergran; Simpson; Making Arrangements; Women Poets; Work Into Light; Jeni Couzyn; Flynn A; Strange Routine; Watching for Dolphins; Reject Setting; Abel Baker; US Martial; Rumens; Cassidy Night Cries,1980 - 1986
47,Proofs and Manuscripts! © Walt Disney Productions ,TB AW (19.04.13); ,Painted Stars; The Horn Dice-Box; Pierre Reverdy; Poemes en Prose; Robert Desnos; Les T_n bres; Les Jockeys Camoufles; Robert Desnos; A La Mysterieuse; Benjamin P_ret; Max Jacob; Le Cornet A Des; Martin Bell; Geoff Hettersley; Don't Worry; Not Fade Away; Adrian Henri ; Greig Heretical Buddha; Andrew Greigl Western Swing; Tom Pickard; Tiepin Eros; Choosing to be a Swan; Connie Bensley; Douglas Oliver; Penniless Politics; Helen Dunmor;e Recovering a Body; Chris Greenhalgh; Stealing the Mona Lisa,
49,Finance Management,,Production Programmes; Cash flowsl Production Estimates; Sales by Title; Spreadsheets;  Sales Projections; Monthly Sales; Budget Plans,1985-1995
50,Marketing and Publicity Archives,AW (22.04.13); ,Neil Astley; Blackwell Bookshops; Blackwell Retail Group Directory; Waterstones; Book Trust/ National Book League; Barbie Keene Zimbabwe; Disitributors IPD Welsh Books Centre SBD James Taylor Whitecoulls; Bernard Thorpe; Reps; Greg Carr; Debbie Jones; Mike Wilson; Clive Malins; David Grant; Dufour; Gregory Carr Ireland; Unlabelled folder; Dillions The Bookstore; Unlabelled folder; Sherratt and Hughes; Loose sheets; Office of Arts and Libraries; Canada; Europe; Dutch Marketing Neil Astley; Edinburgh Book Fair; Pong! The New Generation May 1994 Poetry Promotion; Book Data for Publishers; Awards History General Documents; Manfred Nippel Continent Books Holland; USA; Brickrow New Zealand; Sweden; Pakistan; Japan; Australian B/Sellers ASSN; China,
51,Proofs & Manuscripts 1986,AW (22.04.13); ,Jimmy Forsyth; Scotswood Road; Ghosts at 4am; Jill Maughan; Gillilan; That Winter; Lesser Vehicle ;John Drew; Douglas Houston; With the Offal Eaters; Irina Ratushinskaya; No I'm Not Afraid; The Sea Skater; Dunmore; Edna Longley; Poetry in the Wars,1986
52,Proof and Manuscripts! With such a low P.R. we dare you to go anywhere else,AW (22.04.13); ,Maxwell; Rest for the Wicked; George Gale; Carol Rumens; Best China Sky; Naughton; Neither use nor Ornament; Gwyneth Leiws; Parables and Faxes; Reading; Lawrence; Sail Building into Air; Duhig; The Mersey Goldfish; Kennelly; Poetry my Arse,1995
53,Proofs and Man/s! '78 - '85,AW (20.02.13); AW (21.12.13); TB (21.12.13),Packets labelled> Bunting 1980; Wells Winter Festival; On the Contrary; Scott; M. Bonicelli; Ratushinskaya; Hollub; Scott; Abel Baker ;Burned Books; Sodergran; Ten North East Poets; Tarot Poems; Fox Running; Vincent Morrison; Adcock; Oldham; Neil Astley; Bunting Brigflatts,1979 - 1984
54,Proofs and Manuscripts! (Now with free envelopes) 1997 ,,Keith Bosley Skating on the Sea; Glyn Wright; Shingdig; Katie Dunovan; Entering the Mare; Selima Hill; Violet; Trembling Hearts; Roddy Lumsden; Yeah Yeah Yeah; Valery; Elliot; La Jeune Parque; Linda France; Storyville; C. K. Williams; The Vigil Proof; Work in Regress; Barry Macsweeney; Book of Demons,1996-1997
55,Proofs and Manuscripts 1987,,Sid Chaplin; In Blackberry Time; Bossy Parrot; Burning Forest; Czerniawski; Holub; A Gilded Lapse of Time; Gertrude Schnackenberg; Richard Scott Simon Limited; Arthur Gibson; Boundless Function; Jamie; Sean O'Brien; Frighteners; Conn; Tsveteva; A Book of Chinese Whispers; Wormwood; Neil Astley; Holub; Fly; In Blackberry Time; Sid Chaplin; Arthur Gibson; Boundless Function; Jamie; The Way We Live,1987
59,Proofs and Manuscripts! (May contain nuts but not v. likely),,Douglas Oliver; A Salvo for Africa; Jean 'Binta' Breeze; Arrival of Brighteye; Kinsella; Hierachy of Sheep; Roddy Lumsden; Book of Love; Maxwell; Boys At Twlight; Peter Reading; Marfan; Ioana Ieronim; Triumph of the Water Witch; WM Martin; Lammas Alanna; Love and Variations; Satyamurti; John Agard; Weblines ,2000
60,Proofs and Typesettings,,Archive British Coal Enterprise Quarry Press; Gunnar Ekelof; Tyne Tees Wordworks; The Poet Reclining; Marc Chagall; Step by Step; Dear Next Prime Minister; Hewett; Wearne; David Scott; Playing for England; Clemo; John Hartley Williams; Cornerless People; Linda; Ekel_f; Tale; Hartley Williams; Dave Smith; Cuba Night; Ma Chi-Yuan ; Archie's; Kennelly; Twenty-seven love poems; Desmond Graham; Leaf; Clemo; Fleur Adcock; Meeting the Comet,?
62,Proofs and Manuscripts 1991,,Dunmore; Short Day; Forde Bunting; Won't Let You Go; Tagore; Mandelstam; Moscow; GF Dutton; Concrete Garden; Scammel; New Lake poets; Greening; Tutankhamun; Tings and Times; Johnson; Petri; Night Song of the Personal Shadow; Jackie Kay; The Adoption Papers; Mandelstam; Kuzminsky ; Adrian Mitchell's Greatest Hits; Mark Lucas; Dooley; Explaining Magnetism,1991
63,Proofs and Manuscipts,,Tom Paulin; Ireland & the English Crisis; Kennedy; A Time for Voices,?
64,Proofs and Manuscipts 1997,,Hotspur; Transtromer; Fulton; Stokes; Rumens; Kathleen Jamie; Queen of Sheba; John Agard; From the Devil's Pulpit; Neil Astley; Dear Next Prime Minister; Sean O'Brien; The Deregulated Muse; Tagore; Dear Mrs Thatcher,1997
65,Proofs and Manuscripts 1993,,The Trojan Woman; Josef Hanzlik; Randall White Eyes; Charlotte Cory; MacInnes; Elsewhere and Back; Shvarts Paradise; Katie Donovan; Watermelon Man; Jack Clemo; Approach to Murano; Josef Hanzlik; Pamela Gillilan; The Turnspit Dog; Sylvia Kantaris; Lad's Love; Mairi MacInnes; Elsewhere and Back; Steve Ellis,1993
66,Proofs and Manuscripts 1986,,Ellis; Levertov; Persephone; Mock-Up; Jenny Joseph; Edmond; Jenny Jones; Longley; Poetry in the Wars; Oblique Prayers; Lesser Vehicles; John Drew,1986
67,Yet more proofs and further manuscripts 1996,,Karina Porteous; The Lost Music; Gardening in the Tropics; Olive Senior; Reading; This fellow with the fabulous smile; Persson; Unbroken Poetry; Rome the Sorceress; Fr_naud; Elfyn> Menna Cell; Angel;Colonnade of Teeth; Hungarian Anthology; G_m_ri; Szirtes,1996
68,Proofs and Manuscripts! Made with slugs snail and puppy tails,,Fred Voss; Goodstone; Tony Harrison; Astley; Basil Buntings Poetry; Forde; Adoption Papers; Kay; Garrett; Rule of Three,1991
69,Proofs and Manuscripts! Boing!!! 1998 ,,Garrett; Two-Part Invention; David Constantine; The Pelt of Wasps; Beverley Braune; Camouflage; Gwyneth Lewis; Zero Gravity,1998
70,Proofs and Manuscripts! 1993,,Selima Hill; A Little Book of Meat; Kay> Other Lovers; Couzyn; In the Skin House; Kissing the Night; McNeill; Michael Hulse; The New Poetry; Sixty Women Poets; Elliot; Italian Landscape Poems,1993
71,Archive Satnd Magazine Gerald Manger,,Harrison;Modern Riddles; Poetry Book Society; Stand,
72,Proofs & Manuscipts! Caution not to be used as protective eyewear. '88 - '89.,AW (20.02.13); AW (21.12.13); TB (21.12.13),Cassidy; Walking on Frogs; Randall; Sin Eater; Conn; The New Czech Poetry; Czeniawski; Burning Forest; Janovic; Czechs; Bell; Ratushinskaya; Nigel Wells; Just Bounce; Wells Wilderness; Armitage; Zoom; McDonald; Biting the Wax; Ian McDonald; Biting the Wax; Martin Bell; McDuff; Ice Around Our Lips,1988 - 1989
73,Proofs and Manuscripts! 1996,,Stephen Dobyns; Velocities; Peter Reading; Supposed to Fly; Jenny Joseph; Ghosts; Herd; No Hiding Place; Brendan Kennelley; Dublines,1996
74,Proofs and Manuscripts! Now a major motion picture from 20th Century Fox,,Nick Drake; The Man in the White Suit; C. K. Williams; Repair; Pauline Stainer; Parable Island; Yang Lian; Where the Proofs Stand Still;  E. P. Thompson; Peters; Sheep Don't Go To School Proofs; Where the Sea Stands; Guillevic; Montague Carnac ; Kennelly; Begin; London in Poetry and Prose; Anna Adams; Three loose books of poems,1999
75,Proofs and Manuscripts!!! '78 - '85,AW TB (19.04.13); AW (20.02.13); AW (21.12.13); TB (21.12.13),Wordsworth; Briggflatts; Bunting; Noel Connor; Talitha Cumi; Dunstan; Tarot Poems; Douglas Dunn; Rumoured City; Neil Astley; Ten North East Poets; Graeme Hodgson; Kennelly; Didsbury Butchers of Hull; Tony Harrison; Dramatic Verse,1980 - 1985
76,Proofs and Manuscripts! (Don't cha just love 'em),,Tony Harrison; Permanently Bard; Freda Downe; Maxwell; Rest for the Wicked; Hyland; Kicking Sawdust; Hannan; Liar;  Jones; Bill Naughton; Neither Use nor Ornament; Tess Gallacher; My Black Horse; Bartlett; Two Women Dancing;,1995
77,n/a,,Deborah Randall; Korelitz; Playing for England; Scott; Ma Zhi-Yuan; Notes to Poems; Holub; Poems Before and After; Belfast; Confetti; Mistila; Metro Poems; Hilda Morley; Ken Smith; Poetry with an Edge; Martin Booth; Looking for the Rainbow Sign; David Constantine; Watching for Dolphins; Climates ;Ruth Fainlight; In Blackberry Time; Tyneside Free Press,
78,Misc Manuscripts and Tapes and Catalogues,,Basil Bunting; Briggflats; The Poetry Quartets 9; Ian Duhig; Anne Rouse; Matthew Sweeney; Benjamin Zephaniah; The Poetry Quartet> 7; John Burnside; Liz Lochhead; W.N. Herbert; Don Paterson; The Poetry Quartets1  ; Simon Armitage; Jackie Kay; Kathleen Jamie; Glyn Maxwell; The Poetry Quartets; Paul Durcan; Michael Longley; Brendan Kennelly; Medbh McGuckian; The Poetry Quartets; Charles Causley; Lavinia Greenlaw; David Constantine; Andrew Motion; The Poetry Quartets 2; Fleur Adcock; Selima Hill; Carol Ann Duffy; Carol Rumens; The Poetry Quartets 3; James Fenton;Peter Reading; Tony Harrison; Ken Smith; The Poetry Quartets 6; Moniza Alv; Anne Stevenson;Michael Donaghy; George Szirtes; The Poetry Quartets; Helen Dunmore; Elizabeth Jennings; U.A. Fanthorpe; Jo Shapcott; The Other Jamaican Memoirs of a Postcolonial Man; Louis Simpson; John Hartley Williams The Touchstone; Wes Magee; The Blackbird's Field poems; Vasko Popa; Zivojin Turinski; In the Kibble Palace; John Hartley Williams 1980-1987; Carol Rumens; Irina Play; Jem Poster; Brought to Light; Drew Buddha Poems; Eckhard Mahon; Maureen Duffy; Smith's Dock; Len Tabner; Galway Kinnell; Rilke; The King My Father's Wreck; Louis Simpson; Being Alive the sequel to Staying Alive; Paul Hyland Getting into Poetry; Under the Rainbow Writers and Artists in Schools; David Morley; Razumovsky; Marina Tsvetayeva,
79,n/a,,Directors Meetings; Editorial Report; Chairman 's Report; Bloodaxe Pandon Detailed Trial Balance; Mr. Simon Thirsk; Microsoft Dangerous Creatures; Unlabelled folder; Alpha Customer List T/Sales; Response; Loosr sheets; Book Club Association; Book MKTG and MKT Research; Unlabelled packet; Jack Mapanje Skipping Without Ropes Proofs and MSS,
80,Proofs and Manuscripts! (Now in stereo where available),,Dobyns; There are others;George Szirtes; Budapest File; Pallbearers; Julie O'Callaghan; Can Do; Douglas Oliver; A Salvo for Africa; Szirtes; Cold Waters; Bunting,2000
