ID,PDFS,FIRSTNAME,SURNAME,DATE,BOOKS,DESCRIPTION
ADC,13,Fleur,Adcock,1979 - 2013,"""Below Loughrigg"" ""The Virgin & the Nightingale: Medieval Latin Poems"" ""Hotspur"" ""Meeting the Comet"" ""Poems 1960-2000"" ""Dragon Talk"" ""Glass Wings""","""Fleur Adcock writes about men and women childhood identity roots and rootlessness memory and loss animals and dreams as well as our interactions with nature and place. Her poised ironic poems are remarkable for their wry wit conversational tone and psychological insight unmasking the deceptions of love or unravelling family lives."" ""Born in New Zealand in 1934 she spent the war years in England returning with her family to New Zealand in 1947. She emigrated to Britain in 1963 working as a librarian in London until 1979. In 1977-78 she was writer-in-residence at Charlotte Mason College of Education Ambleside. She was Northern Arts Literary Fellow in 1979-81 living in Newcastle becoming a freelance writer after her return to London. She received an OBE in 1996 and the Queens Gold Medal for Poetry in 2006 for Poems 1960-2000 (Bloodaxe 2000)."" ""Fleur Adcock published three pamphlets with Bloodaxe: Below Loughrigg (1979) Hotspur (1986) and Meeting the Comet (1988) as well as her translations of medieval Latin lyrics The Virgin & the Nightingale (1983). All her collections were then published by Oxford University Press until they shut down their poetry list in 1999 after which Bloodaxe published her collected poems Poems 1960-2000 (2000) followed by Dragon Talk (2010) and Glass Wings (2013). Poems 1960-2000 is a Poetry Book Society Special Commendation and Glass Wings is a Poetry Book Society Recommendation."""
AST,3,Neil,Astley,1995 - 2011,"""Biting My Tongue"" ""The End of My Tether"" ""Being Human""","""Neil Astley is editor of Bloodaxe Books which he founded in 1978. His books include novels poetry collections and anthologies most notably the Bloodaxe Staying Alive trilogy: Staying Alive (2002) Being Alive (2004) and Being Human (2011) which were followed by Essential Poems from the Staying Alive Trilogy (2012)."" ""His other anthologies (all these from Bloodaxe) are Pleased to See Me: 69 very sexy poems (2002) Do Not Go Gentle: poems for funerals (2003) Passionfood: 100 Love Poems (2005/2014) Soul Food: nourishing poems for starved minds [with Pamela Robertson-Pearce] (2007) Earth Shattering: ecopoems (2007) the DVD-book In Person: 30 Poets filmed by Pamela Robertson-Pearce (2008) The World Record: international voices from Southbank Centres Poetry Parnassus (with Anna Selby 2012) The Hundred Years War: modern war poems (2014) and Funny Ha-Ha Funny Peculiar: a book of strange & comic poems (2014)."" ""He has published two novels The End of My Tether (Flambard 2002; Scribner 2003) which was shortlisted for the Whitbread First Novel Award and The Sheep Who Changed the World (Flambard 2005). In 2012 Candlestick Press published his selection of Ten Poems About Sheep in its renowned pamphlet series."" ""He received an Eric Gregory Award for his poetry and was given a D.Litt from Newcastle University for his work with Bloodaxe Books. He lives in Northumberland."""
ATT,20,John,Baine,1992,"""Scornflakes""","""John Baine (21 October 1957 Southwick Sussex England) better known by his stage name Attila the Stockbroker is a punk poet and a folk punk musician and songwriter. He performs solo and as the leader of the band Barnstormer. He describes himself as a sharp tongued high energy social surrealist poet and songwriter. He has performed over 2700 concerts published six books of poems and released 30+ recordings (CDs LPs and singles)."""
AUS,5,Annemarie,Austin,1993 - 2008,"""On the Border"" ""The Flaying of Marsyas"" ""Door Upon Door"" ""Back from the Moon""","""Annemarie Austin was born in Devon and grew up on the Somerset Levels and in Weston-super-Mare where has lived for most of her life. She won the Cheltenham Literature Festival Poetry Competition in 1980 and her first collection The Weather Coming (1987) was a Poetry Book Society Recommendation. Very: New & Selected Poems (Bloodaxe Books 2008) includes work from all her collections including On the Border (1993) The Flaying of Marsyas (1995) Door upon Door (1999) and Back from the Moon (2003). A new collection Track is due from Bloodaxe in 2014."""
BEL,23,Martin, Bell,1988,"""Complete Poems""","""Martin Bell was born in Hampshire in 1918. He was the leading member of the lost generation of English poets whose careers were interrupted by the War. He was a prominent member of The Group during the fifties and a major influence on younger poets like Peter Redgrove and Peter Porter. His poetry reached a wide audience during the sixties through Penguin Modern Poets and in 1967 he published his Collected Poems1937-1966 his first and last book. Bell was also a champion and brilliant translator of French Surrealist poets. He died in poverty in Leeds in 1978."""
BEN,14,Connie,Bensley,1990 - 2012,"""Central Reservations: New and Selected Poems"" ""Choosing to be a Swan"" ""The Back and the Front of It"" ""Private Pleasures"" ""Finding a Leg to Stand On: New and Selected Poems""","""Connie Bensley was born in south-west London and has always lived there apart from wartime evacuation. Until her retirement she worked as a secretary to doctors and to an M.P. and as a medical copywriter. Her latest book from Bloodaxe is Finding a Leg to Stand On: New & Selected Poems (2012) which presents new work with poems drawn from six previous collections: Progress Report and Moving In originally published by Peterloo Poets and four later books published by Bloodaxe: Central Reservations (1990) Choosing To Be a Swan (1994) The Back & the Front of It (2000) and Private Pleasures (2007)."""
BER,6,Sara,Berkeley,1994,"""Facts About Water""","""Sara Berkeley was born in Dublin Ireland in 1967."""
CAS,18,John,Cassidy,1982 - 1989,"""Night Cries"" ""Walking on Frogs""",
CLB,7,Brendan,Cleary,1993 - 1998,"""The Irish Card"" ""Sacrilege""","""Brendan Cleary lives in exile from Co. Antrim in Newcastle where he edited and survived The Echo Room. He works as a part-time lecturer performance poet and stand-up comic and has appeared several times on the Mark Radcliffe Show on Radio One. His last book-length collection The Irish Card was published by Bloodaxe in 1993."" "
COD,24,David,Constantine,1980 - 2009,"""A Brightness to Cast Shadows"" ""Watching for Dolphins"" ""Madder"" ""Selected Poems"" ""Caspar Hauser"" ""The Pelt of Wasps"" ""Something for the Ghosts"" ""Collected Poems"" ""Nine Fathom Deep""","""David Constantine has published ten books of poetry five translations and a novel with Bloodaxe. His poetry titles include Something for the Ghosts (2002) which was shortlisted for the Whitbread Poetry Award; Collected Poems (2004) a Poetry Book Society Recommendation; Nine Fathom Deep (2009); and Elder. His Bloodaxe translations include editions of Henri Michaux and Philippe Jaccottet; his Selected Poems of Holderlin winner of the European Poetry Translation Prize; his version of Holderlins Sophocles; and his translation of Hans Magnus Enzensbergers Lighter Than Air winner of the Corneliu M. Popescu Prize for European Poetry Translation. His other books include A Living Language: Newcastle/Bloodaxe Poetry Lectures (2004) and his translation of Goethes Faust in Penguin Classics (2005 2009). He won the Frank O Connor International Short Story Award in 2013 for his collection Tea at the Midland (Comma Press) and is the first English writer to win this prestigious international award. He is a freelance writer and translator a Fellow of the Queens College Oxford and was co-editor of Modern Poetry in Translation from 2004 to 2013."" "
